Title,Type,Price
Belém 1 Bedroom Historical Apartment,Entire home/apt,87
Heart of Alfama - Le cœur d'Alfama (3 people),Entire home/apt,92
Alfama Hill - Boutique apartment,Entire home/apt,77
TheHOUSE - Your luxury home,Entire home/apt,1250
Modern and Spacious Apartment in Lisboa,Entire home/apt,96
Happy Season,Private room,40
Nice Apart.BAIRRO ALTO (ADAMASTOR) 6-1º,Entire home/apt,93
Apartment for renting  in Lisbon,Entire home/apt,95
Small House Downtown Cascais,Entire home/apt,122
Duplex do Pipas,Entire home/apt,108
Romantic & Renewed 1 bedroom Apartment @ Campolide,Entire home/apt,88
Cascais  ocean view  elevator  swimming pool 4 p,Entire home/apt,87
Charming flat with terrace in Graça,Entire home/apt,
"Lv Premier Baixa PR1 elevator, balcony, riverview",Entire home/apt,306
Lisbon Cottage - Principe Real,Entire home/apt,131
Lovely apartment in Estrela,Entire home/apt,
BIG 3 BD CHARM&LIGHT #greenstreet,Entire home/apt,
BALCONY · Vila Berta,Entire home/apt,80
Noite a bordo  barco Yatch Astinor,Private room,360
Ocean View from The Sunny Flat,Entire home/apt,159
Lapa 2Bdr with City and River Views,Entire home/apt,125
A confortable room in a nice place,Private room,
Casa do Jardim,Entire home/apt,104
Rent quarter,Private room,
Historical Alfama-Pantheon Charming 1 bed flat,Entire home/apt,64
House in Bairro Alto,Entire home/apt,107
Private Room in City Center,Private room,61
A pleasure in Lisbon,Entire home/apt,95
The Oasis   Beautiful outside terrace and garden!,Entire home/apt,93
Lisbon City Center 2 Bedroom Apt,Entire home/apt,158
A pleasure in Lisbon 2,Entire home/apt,95
Atalaia apartment,Entire home/apt,95
Dear Home ★ In the Heart of Lisbon,Entire home/apt,140
Regueira street Apartm 88 4floor Alfama - 28599/AL,Entire home/apt,75
Gomes Freire Studio with Balcony,Entire home/apt,150
MyPlaceLisbon - Bairro Alto Apartment,Entire home/apt,120
Casa do Celeiro (architect/artist house),Entire home/apt,200
"Sunny 1BR - Av. D. Carlos I, Lisbon",Entire home/apt,
Refuge at the Heart of the Castle!,Entire home/apt,100
Great apartment in Lisbon!,Entire home/apt,83
Duplex at old typical Lisbon - Alfama,Entire home/apt,104
The White House - Historical Center,Entire home/apt,112
Meet Lisboa on your foot,Entire home/apt,79
Duplex central Apt with river view,Entire home/apt,92
"Quarto c/ varanda, quadrado Tercena",Private room,25
Caravela - Torre Sao Rafael,Entire home/apt,218
"Jasmim Apartment, in historic downtown!",Entire home/apt,68
Alfama Balcony: Awesome Tagus View!,Entire home/apt,205
Santa Catarina - City / river views,Entire home/apt,116
Double Room - Perfect View in City Center Lisbon,Private room,36
Ideal to work from home; close to the Airport,Entire home/apt,
Central Cosy Apartment in Baixa 107,Entire home/apt,206
Cozy central apartment with view,Entire home/apt,53
Beguinhos: A balcony over Lisbon,Entire home/apt,85
Lisboa alojamento de curta duração,Private room,30
Room near the University of Lisbon,Private room,22
"Sea View  Apartment Almocageme, Sintra",Entire home/apt,
Zen Central Apartment,Entire home/apt,106
CASA MAYA  - BEAUTIFUL STONE HOUSE,Entire home/apt,40
Casa do Pátio,Entire home/apt,113
Alfama - Tiny penthouse  with a river view,Entire home/apt,67
Central Cascais Great Terrace 5 px,Entire home/apt,104
FAMILY HOUSE - DREAM SPOT - 2207/AL,Entire home/apt,218
LISBON'S PERFECT LOCATION STUDIO,Entire home/apt,87
3min to Rossio square. Cosy & Comfy with A/c.,Entire home/apt,107
Trendy apartment - historic center,Entire home/apt,114
"Holiday House Lisbon, old town",Entire home/apt,
Window to the river • Alfama,Entire home/apt,111
Top Loft w/ River view in authentic Alfama,Entire home/apt,107
"Cosy, Central & FreeWiFi BairroAlto",Entire home/apt,110
Apartment in the center of Lisbon,Private room,
Central Lisbon with Private Garden,Entire home/apt,147
A private room in a charming place,Private room,
Apartment with garden in Lisbon,Entire home/apt,155
Spacious and family friendly villa at Lisbon coast,Entire home/apt,346
"Luxury, best quarter free parking no cleaning fees",Entire home/apt,183
Challet Joset I Old Fashioned House,Entire home/apt,150
"3 Bedrooms, 3 bathrooms and terrace - Chiado",Entire home/apt,266
BERNARDIM BROWN IN CENTRAL LISBON,Entire home/apt,
BERNARDIM GREY IN CENTRAL LISBON,Entire home/apt,
City Center Apt in Lively Bairro Alto!,Entire home/apt,255
C1 Fully Renovated & Modern | Central | BICA | A/C,Entire home/apt,270
Lovely Apartment close to the sea,Entire home/apt,112
Central Apartment & 360º Terrace,Entire home/apt,124
200yrs apart. - Balcony and WIFI! 2,Entire home/apt,97
Heart of Lisbon: varanda and  A/C,Entire home/apt,108
200yr Duplex Apartment beside garden with lake,Entire home/apt,95
Cozy 3 Bedroom Apt in lively Bairro Alto,Entire home/apt,162
"Bairro Alto Cute Apartment, Central",Entire home/apt,82
Confortable & contemporary - Expo,Entire home/apt,115
"Alfama,Lisbon--Window of the World",Entire home/apt,80
até 4 p Alfama - Sé de Lisboa I,Entire home/apt,155
Central - Alfama - Sé de Lisboa II,Entire home/apt,125
LISBON HISTORICAL CITY CENTER APART,Entire home/apt,165
Da Silva Surfcamp Areia Branca,Entire home/apt,731
Downtown Lisbon - Sunny and central,Entire home/apt,79
Bairro Alto Vintage Apartment ! (90 m2),Entire home/apt,120
Quiet flat in middle Bairro Alto,Entire home/apt,114
1 BR apartment in central Lisbon,Entire home/apt,90
S. Lourenço Street / Lisbon Center,Entire home/apt,112
BERNARDIM BEIGE IN CENTRAL LISBON,Entire home/apt,200
BERNARDIM BLUE  IN CENTRAL LISBON,Entire home/apt,179
BERNARDIM WHITE  IN LISBON,Entire home/apt,131
Casa de Pedra - CASAS DA MARIA,Entire home/apt,80
Casa da Saudade - Praça das Flores,Entire home/apt,165
VISIT LISBON,Private room,
Romantic 2 Bedrooms Apartment @ Campolide,Entire home/apt,120
Huge 6Bedroom Apartments. Jardim do Príncipe Real.,Entire home/apt,354
Apartment in Historic  Building,Entire home/apt,82
Huge 13 Bedroom Apartments in Príncipe Real,Entire home/apt,1080
Lightful 3Bedroom Apartment in Príncipe Real.,Entire home/apt,135
Sunny apartment with a river view,Entire home/apt,90
Fantastic Sea View in Ericeira,Entire home/apt,135
Alfama 1 | Terrace Lisboa Vida Boa,Entire home/apt,112
Cascais Central Charming Duplex,Entire home/apt,140
Watch from your bed the river Tejo,Entire home/apt,90
A room at the República das bananas,Private room,40
